DATE,Site Name,Site #,Duplicate site? (Y/N),JD,CJD,MO,DAY,YR,TIME,ZMAX,SECCHI,Z,LIGHT,TEMP (?C),COND(microS/cm),DO (mg/L),PH,PSAT (%),ORP,TP (microg/L),PO4 (microg/L),NH4 (microg/L),NO2 (microg/L),NO3+NO2 (microg/L),TN (microg/L),SiO2 (microg/L),CHLA (microg/L),PHAE (microg/L),Notes
01/18/90,Agency Lake South,KL0010,NA,18,18,1,18,1990,1500,2.5,0.5,0,NA,1.6,50,10.4,NA,86,NA,NA,NA,NA,NA,NA,335.5,NA,5.3,9.3,NA
01/18/90,Agency Lake South,KL0010,NA,18,18,1,18,1990,1500,2.5,0.5,1,NA,1.6,50,10.4,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,Agency Lake South,KL0010,NA,18,18,1,18,1990,1500,2.5,0.5,1.5,NA,1.7,50,10.4,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,Agency Lake South,KL0010,NA,18,18,1,18,1990,1500,2.5,0.5,2,NA,1.7,50,10.4,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Eagle Ridge,KL0006,NA,18,18,1,18,1990,1212,7.6,1.1,0,NA,2.1,60,9.7,NA,82,NA,72.4,NA,NA,NA,NA,610.6,NA,5.6,2.7,NA
01/18/90,UKL @ Eagle Ridge,KL0006,NA,18,18,1,18,1990,1212,7.6,1.1,0.5,NA,2.1,60,9.7,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Eagle Ridge,KL0006,NA,18,18,1,18,1990,1212,7.6,1.1,1,NA,2.1,60,9.6,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Eagle Ridge,KL0006,NA,18,18,1,18,1990,1212,7.6,1.1,1.5,NA,2,60,9.6,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Eagle Ridge,KL0006,NA,18,18,1,18,1990,1212,7.6,1.1,2,NA,2,60,9.6,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Eagle Ridge,KL0006,NA,18,18,1,18,1990,1212,7.6,1.1,2.5,NA,2.1,60,9.7,NA,82,NA,75.8,NA,NA,NA,NA,1320.9,NA,1.5,10,NA
01/18/90,UKL @ Eagle Ridge,KL0006,NA,18,18,1,18,1990,1212,7.6,1.1,3,NA,2.1,60,9.6,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Eagle Ridge,KL0006,NA,18,18,1,18,1990,1212,7.6,1.1,4,NA,2.1,60,9.6,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Eagle Ridge,KL0006,NA,18,18,1,18,1990,1212,7.6,1.1,5,NA,2.1,61,9.6,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Eagle Ridge,KL0006,NA,18,18,1,18,1990,1212,7.6,1.1,6,NA,2.1,62,9.6,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Eagle Ridge,KL0006,NA,18,18,1,18,1990,1212,7.6,1.1,7,NA,2.1,62,7.1,NA,60,NA,77.2,NA,NA,NA,NA,560.6,NA,4.1,5.4,NA
01/18/90,UKL @ Middle Lake,KL0005,NA,18,18,1,18,1990,1125,2.9,1.7,0,NA,1.5,59,10.1,NA,84,NA,77.3,NA,NA,NA,NA,545.6,NA,7.1,3.1,NA
01/18/90,UKL @ Middle Lake,KL0005,NA,18,18,1,18,1990,1125,2.9,1.7,0.5,NA,1.5,59,10.2,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Middle Lake,KL0005,NA,18,18,1,18,1990,1125,2.9,1.7,1,NA,1.5,60,10.2,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Middle Lake,KL0005,NA,18,18,1,18,1990,1125,2.9,1.7,1.5,NA,1.5,60,10.2,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Middle Lake,KL0005,NA,18,18,1,18,1990,1125,2.9,1.7,2,NA,1.5,60,10,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Middle Lake,KL0005,NA,18,18,1,18,1990,1125,2.9,1.7,2.5,NA,1.5,60,10.1,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Middle Lake North,KL0008,NA,18,18,1,18,1990,1344,3,0.8,0,NA,1.8,58,10.3,NA,86,NA,80.6,NA,NA,NA,NA,1501,NA,10.9,5.1,NA
01/18/90,UKL @ Middle Lake North,KL0008,NA,18,18,1,18,1990,1344,3,0.8,0.5,NA,1.8,58,10.3,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Middle Lake North,KL0008,NA,18,18,1,18,1990,1344,3,0.8,1,NA,1.8,58,10.3,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/18/90,UKL @ Middle Lake North,KL0008,NA,18,18,1,18,1990,1344,3,0.8,1.5,NA,1.8,58,10.3,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
