DATE,Site Name,Site #,Duplicate site? (Y/N),JD,CJD,MO,DAY,YR,TIME,Q (cfs),Staff gage (ft),TEMP (?C),COND (microS/cm),DO (mg/L),PH,PSAT (%),TP (microg/L),PO4 (microg/L),NH4 (microg/L),NO2 (microg/L),NO3+NO2 (microg/L),TN (microg/L),SiO2 (microg/L),TSS (mg/L),Turbidity (NTU),Notes
03/08/16,Fourmile Canal,4C,NA,68,1344,3,8,2016,912,45,NA,1.8,69,10.1,6.81,84.9,80,56,13,0.5,13,207,28900,4.7,3.07,NA
03/24/16,Fourmile Canal,4C,NA,84,1360,3,24,2016,1000,26.6,NA,4.6,73,9.9,7.01,89.6,86,62,18,0.5,18,311,32000,3.2,2.88,NA
04/06/16,Fourmile Canal,4C,NA,97,1373,4,6,2016,1050,5.7,NA,6.6,73,10.4,7.91,98,74,59,12,0.5,11,126,32600,2.4,1.2,NA
04/19/16,Fourmile Canal,4C,NA,110,1386,4,19,2016,1046,16.4,NA,8.3,79,9.9,7.57,98.6,91,68,12,0.5,8,180,33000,2.3,1.52,NA
05/04/16,Fourmile Canal,4C,NA,125,1401,5,4,2016,1005,89.6,NA,8.3,81,9.1,7.01,90.1,111,79,18,0.5,11,311,32600,2.8,2.05,NA
05/17/16,Fourmile Canal,4C,NA,138,1414,5,17,2016,945,68.2,NA,9.6,82,8.6,6.74,88.5,104,75,12,0.5,11,294,31500,2.2,1.32,NA
06/01/16,Fourmile Canal,4C,NA,153,1429,6,1,2016,930,56.2,NA,13.2,89,7,7.21,77.6,138,96,14,0.5,13,347,34700,13.5,1.31,NA
06/14/16,Fourmile Canal,4C,NA,166,1442,6,14,2016,940,35.8,NA,12,83,7.6,7.57,82.2,109,89,10,0.5,4,255,34100,1.5,1.43,NA
06/30/16,Fourmile Canal,4C,NA,182,1458,6,30,2016,951,35.1,NA,14.4,89,7.2,7.27,82.3,135,104,19,0.5,11,289,34800,1.4,1.5,NA
07/13/16,Fourmile Canal,4C,NA,195,1471,7,13,2016,1320,31.6,NA,12.8,88,7.2,7.39,79.2,133,98,9,0.5,10,303,34700,1.1,1.01,NA
07/28/16,Fourmile Canal,4C,NA,210,1486,7,28,2016,1010,33.3,NA,15.4,90,6.6,7.09,76.3,154,121,23,0.5,9,340,35600,1.6,1.27,NA
08/11/16,Fourmile Canal,4C,NA,224,1500,8,11,2016,1030,35.6,NA,14,93,6.1,7.42,69,163,131,15,0.5,10,402,35800,1.2,1.16,NA
