monitoring_location_identifier,huc_eight_digit_code,latitude_measure,longitude_measure,params,min_date,max_date
KLAMATHTRIBES_WQX-BB,18010203,42.408583,-122.019889,"pH, Conductivity, Dissolved oxygen saturation, Dissolved oxygen (DO), Depth, Secchi disk depth, Water Temperature, Light, photosynthetic active radiation (PAR)",1994-10-05,1994-10-25
KLAMATHTRIBES_WQX-BI,18010203,42.417722,-121.930306,"pH, Conductivity, Dissolved oxygen saturation, Dissolved oxygen (DO), Water Temperature",1994-10-05,1994-10-05
KLAMATHTRIBES_WQX-BP,18010203,42.418083,-122.002611,"Dissolved oxygen (DO), Dissolved oxygen saturation, Depth, Secchi disk depth, pH, Water Temperature, Conductivity, Ammonia-nitrogen",1994-09-01,1995-08-22
KLAMATHTRIBES_WQX-BPN,18010203,42.418167,-122.008972,"Conductivity, pH, Dissolved oxygen saturation, Dissolved oxygen (DO), Water Temperature",1995-08-18,1995-08-18
KLAMATHTRIBES_WQX-GB,18010203,42.461333,-121.913861,"Dissolved oxygen (DO), Dissolved oxygen saturation, pH, Conductivity, Water Temperature",1995-08-18,1996-06-24
KLAMATHTRIBES_WQX-KL0001,18010203,42.23861,-121.80588,"Ammonia-nitrogen, Nitrogen, Total Phosphorus, mixed forms, Nitrate + Nitrite, Phosphorus, Dissolved oxygen (DO), Water Temperature, Depth, Secchi disk depth, Light, photosynthetic active radiation (PAR), Dissolved oxygen saturation, pH, Chlorophyll a, Conductivity, Pheophytin a, Silica, Nitrite",1991-10-07,2018-10-23
KLAMATHTRIBES_WQX-KL0002,18010203,42.241722,-121.822306,"Water Temperature, Conductivity, Chlorophyll a, Dissolved oxygen saturation, Dissolved oxygen (DO), pH, Phosphorus, Depth, Secchi disk depth, Total Phosphorus, mixed forms, Pheophytin a, Nitrogen, Nitrate + Nitrite, Ammonia-nitrogen, Light, photosynthetic active radiation (PAR), Silica, Nitrite",1990-01-18,2018-10-23
KLAMATHTRIBES_WQX-KL0003,18010203,42.308389,-121.856222,"pH, Dissolved oxygen (DO), Depth, Secchi disk depth, Water Temperature, Dissolved oxygen saturation, Conductivity, Nitrogen, Chlorophyll a, Nitrate + Nitrite, Pheophytin a, Total Phosphorus, mixed forms, Phosphorus, Ammonia-nitrogen, Light, photosynthetic active radiation (PAR), Nitrite, Silica",1990-01-18,2018-10-23
KLAMATHTRIBES_WQX-KL0004,18010203,42.32689,-121.919922,"Nitrogen, Water Temperature, Dissolved oxygen saturation, Conductivity, pH, Pheophytin a, Dissolved oxygen (DO), Depth, Secchi disk depth, Phosphorus, Chlorophyll a, Total Phosphorus, mixed forms, Ammonia-nitrogen, Nitrate + Nitrite, Light, photosynthetic active radiation (PAR), Nitrite, Silica",1990-01-18,2018-10-23
KLAMATHTRIBES_WQX-KL0005,18010203,42.369083,-121.848694,"Dissolved oxygen saturation, Nitrogen, pH, Conductivity, Dissolved oxygen (DO), Nitrate + Nitrite, Phosphorus, Water Temperature, Depth, Secchi disk depth, Pheophytin a, Total Phosphorus, mixed forms, Ammonia-nitrogen, Chlorophyll a, Light, photosynthetic active radiation (PAR), Silica, Nitrite",1990-01-18,2018-10-23
