title,year,endyear,authors,organization,type,filename,location
Upper Klamath Lake Tributary Loading: 2009 Data Summary Report,2009,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2009UKLTributaryLoadingSummaryReport_final.pdf,Upper Klamath Lake Tributaries
Upper Klamath Lake 2009 Data Summary Report,2009,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2009 UKL Data Summary Report_final.pdf,Upper Klamath Lake
Upper Klamath Lake Tributary Loading: 2010 Data Summary Report,2010,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2010UKLTributaryLoadingSummaryReport_final_6-10-11.pdf,Upper Klamath Lake Tributaries
Upper Klamath Lake 2010 Data Summary Report,2010,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,20010 UKL Data Summary Report_final.pdf,Upper Klamath Lake
Upper Klamath Lake 2011 Data Summary Report,2011,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2011UKLDataSummaryReport_7-16-12_F.pdf,Upper Klamath Lake
Upper Klamath Lake Tributary Loading: 2011 Data Summary Report,2011,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2011UKLTributaryLoadingSummaryReport_7-25-12.pdf,Upper Klamath Lake Tributaries
Upper Klamath Lake 2012 Data Summary Report,2012,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2012UKLDataSummaryReport_ver_8-20-13.pdf,Upper Klamath Lake
Upper Klamath Lake Tributary Loading: 2012 Data Summary Report,2012,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2012UKLTributaryLoadingSummaryReport_ver_8-20-13.pdf,Upper Klamath Lake Tributaries
Upper Klamath Lake 2013 Data Summary Report,2013,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2013UKLDataSummaryReport_ver_5-31-14_F.pdf,Upper Klamath Lake
Upper Klamath Lake Tributary Loading: 2013 Data Summary Report,2013,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2013UKLTributaryLoadingSummaryReport_ver_5-30-14_F.pdf,Upper Klamath Lake Tributaries
Upper Klamath Lake 2014 Data Summary Report,2014,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2014UKLDataSummaryReport_6-25-15.pdf,Upper Klamath Lake
Upper Klamath Lake 2015 Data Summary Report,2015,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2015UKLDataSummaryReport_8_30_2016_F.pdf,Upper Klamath Lake
Upper Klamath Lake 2016 Data Summary Report,2016,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,UKL Data Summary Report 2016.pdf,Upper Klamath Lake
Upper Klamath Lake Tributary Loading: 2016 Data Summary Report,2016,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,UKL Tributary Loading Summary Report 2016.pdf,Upper Klamath Lake Tributaries
Upper Klamath Lake 2017 Data Summary Report,2017,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2017UKLDataSummaryReport_ver_6-24-18.pdf,Upper Klamath Lake
Upper Klamath Lake Tributary Loading: 2017 Data Summary Report,2017,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2017UKLTributaryLoadingSummaryReport_6-06-18_2.pdf,Upper Klamath Lake Tributaries
Upper Klamath Lake 2018 Data Summary Report,2018,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2018UKLDataSummaryReport_ver_7_9_2019.pdf,Upper Klamath Lake
Upper Klamath Lake Tributary Loading: 2018 Data Summary Report,2018,NA,Jacob Kann Ph.D.,Klamath Tribes,technical report,2018UKLTributaryLoadingSummaryReport_7-12-19_not2ap4.pdf,Upper Klamath Lake Tributaries
"Detecting the effect of water level fluctuations on water quality impacting endangered fish in a shallow, hypereutrophic lake using long-term monitoring data",2020,NA,"Jacob Kann Ph.D., Jeffrey D. Walker Ph.D.",Klamath Tribes,journal article,Kann_and_Walker 2020.pdf,Upper Klamath Lake
Evaluation of Water and Nutrient Balances for the Upper Klamath Lake Basin in Water Years 1992‐2010,1992,2010,"Jacob Kann Ph.D., Jeffrey D. Walker Ph.D., William W. Walker Jr. Ph.D.",Klamath Tribes,technical report,Kann&Walker_upperklamathlake_nutrientbudget_2012_appendix_Final,Upper Klamath Lake and Tributaries
Upper Klamath Lake monitoring program: preliminary analysis of status and trends for 1990-2009,1990,2009,"Alan Jassby Ph.D., Jacob Kann Ph.D.",Klamath Tribes,technical report,KlamathTribes_Jassby_Kann_status_trends_2010_Final.pdf,Upper Klamath Lake and Tributaries
Combined analyses of long-term (1990-2015) water quality and plankton dynamics of Upper Klamath Lake (Phase II),1990,2015,Jens M. Nielsen,Klamath Tribes,technical report,Phase_II_Plankton_report_ver_July_20_2018.pdf,Upper Klamath Lake
"Spatial and Temporal Nutrient Loading Dynamics in the Sprague River Basin, Oregon",2015,NA,"Jacob Kann Ph.D., Jeffrey D. Walker Ph.D., William W. Walker Jr. Ph.D.",Klamath Tribes,technical report,Sprague_River_Nutrient_Dynamics_20151229_final_compressed.pdf,Sprague River
"Water Quality of a Drained Wetland, Caledonia Marsh on",2009,,,USGS,technical report,sir20095025.pdf,
